note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,278.34798899980206,15.973601384526576,2.6120382492751384,False,534.8931900941958,8.86460391138138,1.449559427696237,781.4320496034777,5.594717759169391,0.9148604894451269,False
C#4 / Db4,277.18,273.51861806438075,19.562301948304064,3.198870417684095,False,541.5046312041799,7.287173218660705,1.1916145093412396,830.7893662155609,766.7145689211069,125.37484391205658,False
D4,293.66,293.9526994572556,3.079878674076546,0.5036284996824568,False,590.3366459136486,4.299430038379761,0.7030522072003772,892.398414969736,5.68427810505627,0.9295055931661607,False
D#4 / Eb4,311.13,311.58440679545856,19.5919768849312,3.20372292825131,False,634.333996553468,1.8568126187251248,0.30363006219404953,,0.0,0.0,False
E4,329.63,340.37433961405594,10.270449536070867,1.6794463802917974,False,,0.0,0.0,1005.6514579506199,5.461428788908394,0.8930647853864621,False
F4,349.23,,0.0,0.0,False,705.8459030062882,3.7401746117906827,0.6116015361713373,1047.7779919191103,1.3414297106773168,0.21935352139169967,False
F#4 / Gb4,369.99,368.9495420075729,9.347446917273238,1.5285149724994413,False,738.7745059661278,1.0428555289355461,0.17053001790105926,1126.231815415223,7.906468324121531,1.2928830000286013,False
G4,392.0,,0.0,0.0,False,,0.0,0.0,1171.2488527684766,2.1898021249966217,0.35808123485389437,False
G#4 / Ab4,415.3,416.1244948460288,292.03617612827185,47.75439450730385,True,830.7893662155609,766.7145689211069,125.37484391205658,,0.0,0.0,True
A4 (Concert Pitch),440.0,,0.0,0.0,False,892.398414969736,5.68427810505627,0.9295055931661607,1313.2795637300474,6.802376689950236,1.1123395202123503,False
A#4 / Bb4,466.16,474.5882822884795,8.110968635318402,1.3263233383703563,False,941.3141126877758,15.371246600106728,2.5135398769504955,,0.0,0.0,False
B4,493.88,483.982196521008,5.179819410906053,0.8470154037229609,False,1005.6514579506199,5.461428788908394,0.8930647853864621,1476.5657242700681,2.643325185630241,0.43224231805526103,False
