note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,268.64257935840243,11.676152088509768,2.0296898469115967,False,511.458154022832,12.07437682897025,2.098914083318816,,0.0,0.0,False
C#4 / Db4,277.18,264.64623696488985,9.92064769244329,1.7245268598337564,False,568.5937117645537,4.336178101946478,0.7537668746694489,,0.0,0.0,False
D4,293.66,298.642045663966,4.031162522540012,0.7007453809463249,False,594.217695690902,6.513086404938087,1.1321833809590265,887.9355829867969,0.8752625736559975,0.15214871694584348,False
D#4 / Eb4,311.13,294.4759068616305,5.80224680874901,1.0086166527911469,False,622.3508954018585,0.9841671796010208,0.17107983151962888,936.4882303554691,5.609516597829611,0.9751139586389193,False
E4,329.63,336.3583945798238,8.840939726247647,1.5368389743039472,False,,0.0,0.0,999.4147428940122,3.6804434789204596,0.6397791588076404,False
F4,349.23,,0.0,0.0,False,687.8304249497626,13.185041700183795,2.2919832721521747,,0.0,0.0,False
F#4 / Gb4,369.99,370.2304753100629,274.390631554638,47.69789522544584,True,740.1255196119616,969.6979329052091,168.5646122172143,,0.0,0.0,True
G4,392.0,402.9670304422312,109.80000157433199,19.0867630617462,False,,0.0,0.0,1193.402359386608,2.0989991158419157,0.3648733899495224,False
G#4 / Ab4,415.3,407.4764983205215,19.809570148472904,3.443538855716479,False,,0.0,0.0,,0.0,0.0,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,887.9355829867969,0.8752625736559975,0.15214871694584348,1301.8934829672085,3.20651041285235,0.5573943864081146,False
A#4 / Bb4,466.16,468.0547182307322,2.687584244183599,0.46718836923228596,False,936.4882303554691,5.609516597829611,0.9751139586389193,1395.3635617490527,4.986339807037289,0.8667858385944018,False
B4,493.88,511.45815402283193,15.102669855788049,2.625328570164521,False,999.4147428940122,3.6804434789204596,0.6397791588076404,,0.0,0.0,False
