note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,260.0519449291544,2.9486770359100007,2.4112202647022123,False,522.775116919343,2.353173648783656,1.924259564275855,780.9964182035758,3.4804675770071967,2.846081089965427,False
C#4 / Db4,277.18,276.01560453748453,3.4006865244579627,2.780841767956526,False,552.3541128536629,3.837323997661592,3.137893120442826,830.1284908242204,2.668693195613914,2.1822692126577055,False
D4,293.66,290.1167531616785,9.26446293578014,7.575824853074021,False,591.3203034872574,8.269163892828322,6.761939441895546,880.1255890571146,2.205844360697115,1.8037840558725466,False
D#4 / Eb4,311.13,309.84065839460413,1.766819058250152,1.4447801049191857,False,617.3171095416247,2.456640660923425,2.008867594711649,928.4715038405554,2.0525056971808193,1.6783945037682955,False
E4,329.63,331.6693869639728,2.369845035184716,1.9378922491176895,False,654.2015393110091,4.531261196941403,3.705346055083325,991.8811154373136,1.7710555052352654,1.4482443726895928,False
F4,349.23,351.71856988160147,4.476229503731627,3.6603450148702734,False,693.8112999706752,4.096049252193415,3.3494603993004253,1051.9691522660353,1.7591219643071854,1.4384859639642507,False
F#4 / Gb4,369.99,369.63175519223824,233.04739172923308,190.56973236816452,True,739.2440463085936,1004.5375520622271,821.4400128223213,1108.8617237733833,202.9805611802859,165.98319737905365,True
G4,392.0,395.8640635867345,5.926296855185776,4.846107897827126,False,780.9964182035758,3.4804675770071967,2.846081089965427,1177.8313060005007,1.6283189483623515,1.3315244761887626,False
G#4 / Ab4,415.3,418.03892598854225,4.904889192419283,4.010872697433392,False,830.1284908242204,2.668693195613914,2.1822692126577055,1241.2816105732156,1.3448353359898997,1.0997115571952478,False
A4 (Concert Pitch),440.0,439.3989475610393,4.523460111248177,3.6989668770041018,False,880.1255890571146,2.205844360697115,1.8037840558725466,1316.967772768371,1.9529779141371164,1.5970076972604068,False
A#4 / Bb4,466.16,470.8465741890513,3.057133047247648,2.4999079470700445,False,928.4715038405554,2.0525056971808193,1.6783945037682955,1399.877535239588,2.2649959524231003,1.852154058732175,False
B4,493.88,492.3991014542489,5.1845157942634135,4.239531625049147,False,991.8811154373136,1.7710555052352654,1.4482443726895928,1478.4898993391364,569.8668469948346,465.99694470501504,False
