note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,271.0577046329683,3.883122750927811,0.9280647027642676,False,534.551225673499,7.71067394503886,1.8428478268437067,,0.0,0.0,False
C#4 / Db4,277.18,271.2205813978793,3.873051740032312,0.9256577353999128,False,564.5666733844861,3.1828403692170455,0.7606975083385519,,0.0,0.0,False
D4,293.66,295.586620865048,6.567758125800238,1.5696914271875708,False,586.8033278212816,7.176445372096062,1.7151674228086105,875.135808787981,3.6249149321317056,0.8663531427716918,False
D#4 / Eb4,311.13,306.6991286432175,4.586030089460091,1.0960592607652775,False,621.4008217412936,4.900206449407756,1.171147278531577,935.9399372438216,7.606960475170996,1.818060351206329,False
E4,329.63,329.76859683955615,9.35872049407822,2.236730258273525,False,,0.0,0.0,987.632715082922,650.8349671333535,155.54928315796542,False
F4,349.23,,0.0,0.0,False,712.7710172248453,3.958595931308525,0.9461027611027442,,0.0,0.0,False
F#4 / Gb4,369.99,356.38550861242265,4.184107788349042,1.0,False,747.0982367627579,6.50790891398679,1.5553874907593308,,0.0,0.0,False
G4,392.0,387.9128783556351,0.9766626443394767,0.23342196084409347,False,,0.0,0.0,1164.2104940541224,3.857568491769811,0.921957245583275,False
G#4 / Ab4,415.3,409.9130705003816,3.6652118287351065,0.8759840840958162,False,,0.0,0.0,,0.0,0.0,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,875.135808787981,3.6249149321317056,0.8663531427716918,1324.4466892739356,7.081598683987185,1.6924991042789148,False
A#4 / Bb4,466.16,456.78550008350186,12.731728127910642,3.042877662799004,False,935.9399372438216,7.606960475170996,1.818060351206329,1397.6114922409513,3.179921263420106,0.7599998432819614,False
B4,493.88,493.89508044802403,423.79988111466,101.2879931761706,True,987.632715082922,650.8349671333535,155.54928315796542,,0.0,0.0,True
