note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,258.3854452628063,0.5918073348977163,0.32009415040191763,False,535.3542032919613,9.829209781976546,5.316379789087574,,0.0,0.0,False
C#4 / Db4,277.18,293.211320068145,2.5517171317875467,1.380161547856991,False,563.981103105396,0.1677812469395268,0.09074878347319622,,0.0,0.0,False
D4,293.66,292.396494295797,3.131109174334405,1.6935405694953793,False,592.3285934490156,1.1315873271014891,0.612047980339295,886.7781275756367,0.7497389614010364,0.40551551446106776,False
D#4 / Eb4,311.13,324.9134291579953,2.13226899044016,1.1532922805717853,False,604.4094997267346,1.2705793239748002,0.6872253607607761,922.9980728034026,3.083712861131368,1.6679050599092546,False
E4,329.63,309.9535896034536,1.8150935049227872,0.9817397979001298,False,,0.0,0.0,987.8697578893895,686.6967310764157,371.41750998349715,False
F4,349.23,,0.0,0.0,False,701.5004256071308,1.3247840879639614,0.7165433952860591,,0.0,0.0,False
F#4 / Gb4,369.99,371.1779617929433,2.9996840184693356,1.622455908783393,False,751.2477342361343,0.45152157990532804,0.24421700777484778,,0.0,0.0,False
G4,392.0,382.79287630915803,3.740215967465981,2.022991574838505,False,,0.0,0.0,1162.325961012951,0.6554050182744072,0.35449258588516563,False
G#4 / Ab4,415.3,433.93502544483505,1.8488539517346048,1.0,False,,0.0,0.0,,0.0,0.0,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,886.7781275756367,0.7497389614010364,0.40551551446106776,1332.8004352948506,1.2190347133558352,0.6593461382994207,False
A#4 / Bb4,466.16,456.2381903046218,15.58986100374023,8.432175504784322,False,922.9980728034026,3.083712861131368,1.6679050599092546,1385.9726141271367,0.8681276349703826,0.4695490599221753,False
B4,493.88,493.9988838991642,408.8573760753508,221.14098070956803,True,987.8697578893895,686.6967310764157,371.41750998349715,,0.0,0.0,True
