note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,255.8851089524178,9.443197944977198,0.9736683253786963,False,523.1038109686942,43.029217239811906,4.436652301091307,,0.0,0.0,False
C#4 / Db4,277.18,271.3512724471323,14.663748960097776,1.5119483862292875,False,574.7100786963356,11.010243428700239,1.1352430970629455,,0.0,0.0,False
D4,293.66,279.58868693335245,192.0256861922733,19.799365574452885,False,582.3328883969684,6.408590078673441,0.6607762758229001,876.196728340345,15.95241896346841,1.644820446251606,False
D#4 / Eb4,311.13,311.64952223889213,431.81135977621636,44.52316323374724,True,621.6484297674372,638.0064606065499,65.78350741974927,932.8934496464643,494.37965852687006,50.974449230430864,True
E4,329.63,310.6540965926138,246.50978917485457,25.417107108614747,False,,0.0,0.0,,0.0,0.0,False
F4,349.23,,0.0,0.0,False,692.8462047264915,9.227656434338536,0.9514442924889942,,0.0,0.0,False
F#4 / Gb4,369.99,372.2691080418415,2.2735441852198046,0.23442037034444319,False,,0.0,0.0,,0.0,0.0,False
G4,392.0,390.9333832664852,10.755019971650482,1.1089275419436995,False,,0.0,0.0,1186.2824836776483,8.155635590620044,0.8409104727219701,False
G#4 / Ab4,415.3,422.93120506495734,3.9086296626008656,0.40301060300597913,False,,0.0,0.0,1243.7147712132287,619.9939770056608,63.926278031381166,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,,0.0,0.0,1321.023491730259,2.7647308254529928,0.285065594158545,False
A#4 / Bb4,466.16,454.2570100024832,14.120327525936116,1.4559173424178524,False,932.8934496464643,494.37965852687006,50.974449230430864,1389.8684767503303,0.48613266812759226,0.05012411935507862,False
B4,493.88,483.8436772458359,40.93959227082668,4.221195455213841,False,,0.0,0.0,,0.0,0.0,False
