note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,276.56365085471134,4.31266257023182,1.6138928294376298,False,525.8285640297657,0.8551085088574687,0.32000034047690173,,0.0,0.0,False
C#4 / Db4,277.18,277.27424404494855,4.70714429887081,1.7615165358664877,False,562.0589613216857,2.4674117668442843,0.9233595471314533,,0.0,0.0,False
D4,293.66,279.570050459779,3.9815294827469123,1.489975572574033,False,605.6481682323254,4.83680542576183,1.810038570581337,900.8368292592879,3.3522603274099945,1.2544892665981087,False
D#4 / Eb4,311.13,306.9303461636805,3.066224933631762,1.1474485548646045,False,622.3767988989787,6.7367993683388985,2.5210579350606763,931.8768301446522,698.7491190733991,261.48723079621817,False
E4,329.63,331.1324158143001,5.650043518207312,2.1143700838053707,False,,0.0,0.0,,0.0,0.0,False
F4,349.23,,0.0,0.0,False,683.3934566794597,2.4729269449150224,0.9254234476097505,,0.0,0.0,False
F#4 / Gb4,369.99,380.2408338337365,3.517248577746942,1.3162314849664583,False,,0.0,0.0,,0.0,0.0,False
G4,392.0,390.99087637830644,3.4947689233065224,1.3078191057184154,False,,0.0,0.0,1170.9778207657566,2.3825019385292747,0.891584428898865,False
G#4 / Ab4,415.3,429.08867095223167,5.091200929943059,1.9052389423593654,False,,0.0,0.0,1243.2324506104783,2.6722112469726955,1.0,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,,0.0,0.0,1321.9760207563604,2.7444141310560943,1.0270199012765913,False
A#4 / Bb4,466.16,465.9160515506114,225.59298459862208,84.4218378521506,True,931.8768301446522,698.7491190733991,261.48723079621817,1397.7979571757642,376.48037542270936,140.88720562388838,True
B4,493.88,504.69082470519174,1.6978536830912385,0.6353740502419893,False,,0.0,0.0,,0.0,0.0,False
