detection_audio_time_s
6.439035772869829144e-02
1.393666839572081928e-01
6.442983247826002124e-02
1.201525726918528797e-01
6.440879472919429360e-02
6.439920714654968903e-02
3.262820268783252486e-01
6.440112122822029550e-02
2.340108268038069150e-01
6.440460820770871342e-02
6.438507897972158001e-02
6.439959124989400041e-02
6.439597552067426178e-02
6.437402579174279771e-02
6.625966366569627231e-02
9.664393527899180214e-02
1.589297642133533361e-01
6.439016674932644679e-02
6.440871318690673253e-02
6.438420777099963799e-02
6.441346835480847577e-02
6.438457900049494864e-02
6.441094914602824018e-02
6.441220660394417208e-02
6.439533606246793107e-02
6.439295633266738095e-02
6.438711322897384959e-02
6.441431166748468051e-02
6.438411335486307618e-02
6.439850116700350513e-02
