note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,254.0962305589112,25.624257641585682,3.0170948628728724,False,512.492023319277,65.8025820033221,7.74783936779479,,0.0,0.0,False
C#4 / Db4,277.18,295.0711649414019,193.92305954314634,22.83321823109841,False,552.1856097741601,26.249676660443136,3.090734011188158,,0.0,0.0,False
D4,293.66,294.12901055985344,349.99202970955037,41.20935598030419,True,587.9025636759867,604.630073458243,71.19138099863507,881.390700434276,417.5213063765328,49.16050276376533,True
D#4 / Eb4,311.13,326.1312875668126,150.82069093973885,17.7581859429456,False,628.5915481084159,8.493023523027814,1.0,916.2736174496165,6.693526739115107,0.7881205934454806,False
E4,329.63,333.58893802835547,5.8950854369083,0.6941091615870936,False,,0.0,0.0,,0.0,0.0,False
F4,349.23,,0.0,0.0,False,714.3828203844467,10.938116599866765,1.2878943017418207,,0.0,0.0,False
F#4 / Gb4,369.99,375.69366611230157,11.288410914029685,1.3291392498116263,False,,0.0,0.0,,0.0,0.0,False
G4,392.0,382.84344507467034,8.077094013896303,0.9510269213309291,False,,0.0,0.0,1174.7112286847203,593.1865886272066,69.84398277231334,False
G#4 / Ab4,415.3,409.88911222962815,24.78699887461741,2.918512919151871,False,,0.0,0.0,1240.2641598833522,4.622943593828537,0.5443224761233711,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,,0.0,0.0,1312.7523398326869,1.1745156247602477,0.13829181346027003,False
A#4 / Bb4,466.16,481.4319006938663,19.166417342429423,2.25672486252534,False,916.2736174496165,6.693526739115107,0.7881205934454806,1402.8496054549187,3.0963679778787347,0.3645778172500411,False
B4,493.88,512.492023319277,56.81385986232169,6.689473979234572,False,,0.0,0.0,,0.0,0.0,False
