detection_audio_time_s
6.439784454199980190e-02
6.440403741669191440e-02
6.439748404175285601e-02
6.438289022804383199e-02
6.440419620831866476e-02
6.439340266565220239e-02
6.440467043734922348e-02
6.438807885508140982e-02
6.440055473015186827e-02
6.439659137578321313e-02
6.440931187521831136e-02
6.440644289668852329e-02
6.437973156230630822e-02
6.438325502123916355e-02
6.439386616668343888e-02
6.440505025024322039e-02
6.438680637496872750e-02
6.439203577065200079e-02
6.438360693808742319e-02
6.439380393704292882e-02
6.440224564595457835e-02
6.467098284196738656e-02
6.439407002115331291e-02
7.939691279219307507e-02
6.440803081170694278e-02
6.439437687515843500e-02
6.439995175014094630e-02
6.440386145826779152e-02
6.439644974970482050e-02
6.440648581243293980e-02
