note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,259.5720657857094,1.8583213958827158,3.544886071907254,False,520.838900446907,6.103115496720174,11.642146061224226,787.0896807440396,1.3721134274099192,2.6174082635430884,False
C#4 / Db4,277.18,275.14151705569327,1.679681131583733,3.2041165009394224,False,550.7886469922657,1.062774954889204,2.0273221540179547,836.1684095306196,1.1411593075488857,2.176846127973377,False
D4,293.66,295.2740694593249,1.6876909827249957,3.2193958868473835,False,583.7599356521727,0.7825830939459978,1.492835370666065,879.5938937076671,501.0815454988421,955.8502611357289,False
D#4 / Eb4,311.13,307.8911409925351,2.016634862760068,3.84688076721253,False,622.4920868980403,0.7907785584957095,1.5084688279353244,936.8237466879795,2.5361896705485596,4.837970148092754,False
E4,329.63,333.6056341491477,2.7880052154309234,5.31832700117586,False,655.8976859365077,1.0564243731172942,2.015207947658587,991.5303814211406,1.1234288503005048,2.1430239640099273,False
F4,349.23,345.432483426122,1.251444056592875,2.3872224771323567,False,699.3735113729809,0.871860800193813,1.6631392255917505,1050.6511158233368,1.155403191327127,2.2040173941102386,False
F#4 / Gb4,369.99,370.929844649529,1.2776234056024178,2.4371615295918185,False,735.4644182036092,1.987247971778228,3.7908230902310422,1108.027532280022,0.7947163287402691,1.5159804171174958,False
G4,392.0,393.15596094689187,3.640901804133285,6.945290584960066,False,787.0896807440396,1.3721134274099192,2.6174082635430884,1180.7647360846302,1.171455341303608,2.2346380623121265,False
G#4 / Ab4,415.3,413.46496938973786,1.0740387878076705,2.0488087518246787,False,828.3881396134244,1.1099588866058046,2.117329007908021,1248.8085876792406,0.830334753561837,1.5839252076865542,False
A4 (Concert Pitch),440.0,439.79965458202435,188.05694816362683,358.7325947748485,True,879.5938937076671,501.0815454988421,955.8502611357289,1319.3612638700263,497.26086635663,948.5620319271206,True
A#4 / Bb4,466.16,466.56745255351615,1.0618324246928539,2.025524207670893,False,928.3568374781721,2.597199992468593,4.9543518681203444,1400.4540122688804,9.050043781515301,17.263630619721496,False
B4,493.88,494.86192967456503,1.4619041496120009,2.7886907345009493,False,991.5303814211406,1.1234288503005048,2.1430239640099273,1486.1754157245132,0.8950068327972802,1.7072920017357114,False
