note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,261.5251787897199,1.106704282054705,0.22720745566311226,False,,0.0,0.0,,0.0,0.0,False
C#4 / Db4,277.18,278.0991050365457,5.1225429336311326,1.0516630009911294,False,,0.0,0.0,,0.0,0.0,False
D4,293.66,274.21492113720797,3.8191460483784376,0.7840743643341225,False,,0.0,0.0,880.4476523879238,491.8934277013274,100.98619475649703,False
D#4 / Eb4,311.13,,0.0,0.0,False,614.7485348320085,2.896060572271156,0.5945640264898339,939.6055598351189,4.895535959813043,1.0050582504942471,False
E4,329.63,,0.0,0.0,False,642.6940173464885,5.884339056266096,1.208060479129159,991.0861664000411,3.112126405548266,0.6389225502894154,False
F4,349.23,335.15157027880974,6.337990586493564,1.3011955754796452,False,696.319807155571,1.0852883766431676,0.22281074964310538,1035.92303540723,5.225026299267488,1.0727029347219341,False
F#4 / Gb4,369.99,364.3423457660385,10.209339918749091,2.095987324303282,False,,0.0,0.0,1107.279002544187,0.9525113869648638,0.19555150570180155,False
G4,392.0,395.34819820345774,10.915817066897246,2.241027763666956,False,,0.0,0.0,1174.0610559451945,0.06085376596926481,0.012493336799714032,False
G#4 / Ab4,415.3,404.6171689940074,3.4566570186575163,0.7096550171931039,False,,0.0,0.0,1233.9671451174356,2.333599756118042,0.47909027887671163,False
A4 (Concert Pitch),440.0,440.3973239309016,200.87793478159347,41.24043360151234,True,880.4476523879238,491.8934277013274,100.98619475649703,,0.0,0.0,True
A#4 / Bb4,466.16,,0.0,0.0,False,939.6055598351189,4.895535959813043,1.0050582504942471,1400.1454287976421,18.654450703293403,3.8297767071246778,False
B4,493.88,,0.0,0.0,False,991.0861664000411,3.112126405548266,0.6389225502894154,1483.9881262035271,1.0240117338211467,0.21023059581798403,False
