note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,272.5982156464471,8.504927426099513,1.0860124117810734,False,,0.0,0.0,784.2844384703762,950.6192890664807,121.38661449791643,False
C#4 / Db4,277.18,275.86878071876384,1.7503541788984502,0.22350647666471277,False,,0.0,0.0,848.0833375667243,13.780499022901923,1.7596614561909296,False
D4,293.66,,0.0,0.0,False,586.1551252690847,7.603487696714203,0.9709056406661563,878.6238352517091,12.328320309090763,1.5742296437472967,False
D#4 / Eb4,311.13,,0.0,0.0,False,624.7427363580533,14.087790984139952,1.7989002253450244,,0.0,0.0,False
E4,329.63,318.0312515875216,13.263031712484532,1.693584946228047,False,,0.0,0.0,976.5841939375774,2.1987725330300782,0.2807659774057707,False
F4,349.23,348.8703380885593,33.119811556408315,4.229139723841873,False,700.1431529526354,12.192919032724825,1.5569399645604813,1029.8154813310223,7.919295933546683,1.0112318713039714,False
F#4 / Gb4,369.99,,0.0,0.0,False,730.3928575913773,22.330992894016482,2.85149234499924,1102.2847011722308,4.586754234647651,0.5856924790834144,False
G4,392.0,392.2960313513872,241.59197928478588,30.849397642698182,True,784.2844384703762,950.6192890664807,121.38661449791643,,0.0,0.0,True
G#4 / Ab4,415.3,,0.0,0.0,False,848.0833375667243,13.780499022901923,1.7596614561909296,1256.9806610363948,3.9716993502751947,0.507154802641254,False
A4 (Concert Pitch),440.0,436.11490344968246,4.712276133181441,0.6017206393402197,False,878.6238352517091,12.328320309090763,1.5742296437472967,1319.7005426890819,3.544336730094288,0.45258395369744375,False
A#4 / Bb4,466.16,456.38377462992213,17.272656038004065,2.2055824702434363,False,,0.0,0.0,,0.0,0.0,False
B4,493.88,,0.0,0.0,False,976.5841939375774,2.1987725330300782,0.2807659774057707,1469.001495428076,3.978370222390093,0.5080066205993886,False
