note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,257.62461374601617,4.382948778407098,2.598956069918263,False,524.3032728109665,6.800078745232774,4.032241037794617,783.7656618474932,861.0887653496361,510.5995955209851,False
C#4 / Db4,277.18,277.2010065720983,3.9776598858855388,2.358632014004434,False,550.1970417954523,10.276175511571612,6.093461290928146,833.4149221385541,4.126703846399438,2.4470105749793203,False
D4,293.66,298.37111976961955,2.634634066509834,1.5622583209055192,False,591.2756068567327,5.419738197248827,3.2137408391587177,885.0706548803427,3.5381399672125435,2.0980099948485753,False
D#4 / Eb4,311.13,312.32948844860795,8.418383134201457,4.991846597276899,False,625.4479126298029,3.1441251623443205,1.8643711319453924,937.6343656002512,2.575439947585278,1.5271579986201311,False
E4,329.63,329.0161742345319,6.682569818015333,3.9625617978349967,False,654.5116019630346,3.3740419287951466,2.000704820964802,987.1949001244532,4.570286870281779,2.710041892641831,False
F4,349.23,351.4659003830732,4.3746678651421576,2.5940457387958893,False,702.3264493736998,4.800909886705466,2.8467943665356814,1051.8369778021818,3.621708869775212,2.1475638266527857,False
F#4 / Gb4,369.99,365.82748305755047,4.440942470067666,2.6333445751412197,False,737.3893111098442,6.026049882918958,3.5732653317783756,1106.2406307942206,1.7726297460033034,1.0511158288660811,False
G4,392.0,391.8874265055437,224.45503328653035,133.09504643486645,True,783.7656618474932,861.0887653496361,510.5995955209851,1175.6087186866846,476.05781475131937,282.2878864967303,True
G#4 / Ab4,415.3,419.90333543346014,6.043230868491249,3.5834531366097413,False,833.4149221385541,4.126703846399438,2.4470105749793203,1249.7369375866713,1.8275980277386783,1.0837103575023592,False
A4 (Concert Pitch),440.0,435.6786825352817,6.098523612098574,3.6162400613232255,False,885.1113644308101,3.418547126722024,2.0270950573428346,1318.394631984001,3.495279001839049,2.0725947386473647,False
A#4 / Bb4,466.16,466.2549690992157,6.557702209004771,3.8885190821242914,False,936.1235986541743,2.015006800249406,1.194838091705473,1396.3915029395823,2.598489502703979,1.5408256877064805,False
B4,493.88,488.9579306714485,8.905931973551823,5.28094831383215,False,987.1949001244532,4.570286870281779,2.710041892641831,1482.1374427662747,3.600873211852314,2.135208911647565,False
